ヤンヤン、人生初めての合コン！その時、革命が起きた。【COTEN RADIO 番外編 #11】,/watch?v=WgwiXBLmFEw
戦争天才・ナポレオン！敵は、全欧州。【COTEN RADIO #55】,/watch?v=gWdeqktXUsA
正義の化身！ロベスピエールによる恐怖政治・テルミドール9日のクーデタ―【COTEN RADIO #54】,/watch?v=3m3DFuhX1c4
ルイ16世とマリー・アントワネット、ギロチンに散る【COTEN RADIO #53】,/watch?v=mra61k4wzgY
フランス革命 ― 地に堕ちた王室への信頼【COTEN RADIO #52】,/watch?v=5cyc8zJJbUg
フランス革命 ― ついにキレた民衆の大暴動・バスティーユ牢獄陥落！【COTEN RADIO #51】,/watch?v=KF11h8fv-Q0
フランス革命 ― 民衆、最初の反抗！球戯場の誓い【COTEN RADIO #50】,/watch?v=Q-kkq2aZt2o
天才思想家にして変態紳士・ルソー【COTEN RADIO #49】,/watch?v=3t9yRIyXl1w
フランス革命が勃発した3つの理由【COTEN RADIO #48】,/watch?v=rl7nSTrTeSA
フランス革命 ― Want you！ 市民のハートに、レボ☆リューション！【COTEN RADIO #47】,/watch?v=NOiX7j7nbK8
COTENって何してる会社？【COTEN RADIO 番外編 #10】,/watch?v=lH2DmkFkYqQ
ヤンヤンって普段は何してるの？【COTEN RADIO 番外編 #9】,/watch?v=Tz0-BurSE84
晩年は薬物中毒・ヒトラーの最期【COTEN RADIO #46】,/watch?v=8GRkaGwTPH0
ホロコーストの悲劇・使命感でユダヤ人を虐殺したヒトラー【COTEN RADIO #45】,/watch?v=HDSujv29DQk
そしてヒトラーは救国の英雄となった【COTEN RADIO #44】,/watch?v=aMMOCaFpFYA
ヒトラー・民主制が生んだ独裁者【COTEN RADIO #43】,/watch?v=QcAQ697q1Y0
ヒトラーが弱小政党ナチスに加入したわけ【COTEN RADIO #42】,/watch?v=pq1YUfmWKBQ
ヒトラー、開花する演説の才能【COTEN RADIO #41】,/watch?v=-vG3gGsTVgo
ヒトラー、30歳。ニート・無職・自称芸術家【COTEN RADIO #40】,/watch?v=aYSNX1DvLG8
独裁者ヒトラー！破滅へのカウントダウン【COTEN RADIO #39】,/watch?v=q75j1z8T8y4
ハゲのためのリベラルアーツ ― ハゲとは遺伝子が与えてくれる出家 ―【COTEN RADIO 番外編 #8】,/watch?v=7Rs4sUMiFwM
宗教体験アンビリバボー！～ 私たちが接した「宗教」たち ～【COTEN RADIO #38】,/watch?v=eLHA4irYh5U
宗教王に、俺はなる！【COTEN RADIO #37】,/watch?v=4SS7u6h8iV8
美女500人との宴会より自己との対話・仏陀【COTEN RADIO #36】,/watch?v=wkvQyktqOtM
砂漠を駆ける激アツ！教祖・ムハンマド【COTEN RADIO #35】,/watch?v=JU0In4wemMo
イエスは救世主になるつもりはなかった！？【COTEN RADIO #34】,/watch?v=cNQX3yMh5z8
イエスはなぜ政治犯として処刑されたのか？【COTEN RADIO #33】,/watch?v=KgCEYCNuK9o
世界三大宗教を創ったレジェンドたちのぶっ飛んだ生涯！【COTEN RADIO #32】,/watch?v=SkjmNMpGz3g
初ベトナムで感じた刺激と衝撃【COTEN RADIO 番外編 #7】,/watch?v=tVrtIz-dDY8
諸葛孔明 ― 性格占いで占ってみた！【COTEN RADIO #31】,/watch?v=9VSzJnQih6Y
かっこよすぎて震える！諸葛孔明の人生の美学【COTEN RADIO #30】,/watch?v=eFQJPmOBQCY
諸葛孔明 ― 危機に立ち、過労で死ぬ。【COTEN RADIO #29】,/watch?v=wyyA9GIcqq8
諸葛孔明 ― 劉備が人生で初めて受けた戦略コンサルティング・天下三分の計【COTEN RADIO #28】,/watch?v=CknCaKKH2-Y
諸葛孔明 ― 超絶脳筋集団の頭領・劉備との出会い【COTEN RADIO #27】,/watch?v=l0npJp0lV1o
諸葛孔明 ― 後漢末期の世紀末過ぎる実態とは！？【COTEN RADIO #26】,/watch?v=xeP3tHA3Lsc
諸葛孔明 ― 三国時代を創った男【COTEN RADIO #25】,/watch?v=6wxHAsMJt2Q
キングダムSP 秦の始皇帝 ― 不老不死を求めたわけ【COTEN RADIO #24】,/watch?v=lmOSymPmiWc
キングダムSP 秦の始皇帝 ― 暴君？名君？始皇帝ってどんな人【COTEN RADIO #23】,/watch?v=pD3kj8ypgXA
キングダムSP 秦の始皇帝 ― 秦を盛り上げた漢たち【COTEN RADIO #22】,/watch?v=Prorhdit6TQ
キングダムSP 秦の始皇帝 ― 秦はどのように成長していったのか？【COTEN RADIO #21】,/watch?v=virVzRbe28M
やりたい仕事と得意な仕事、どっちが大事？【COTEN RADIO 番外編 #5】,/watch?v=hf26Bx8QXno
社会に最も影響を与えるのは「行為」以上に「存在」である【COTEN RADIO 番外編 #6】,/watch?v=Zb-eFj2Bhgg
【COTEN 講演】歴史データの分析から学ぶ組織と個人の意思決定＠WeWork大名,/watch?v=i15sPyNjqak
キングダムSP 秦の始皇帝 ―「キングダム」を10倍楽しむ為の予備知識【COTEN RADIO #20】,/watch?v=wwmDQcbr0s4
現代の天皇 ―象徴って何？【COTEN RADIO #19】,/watch?v=KdYs79gz6RA
リベラルアーツって役立つの？【COTEN RADIO 番外編 #4】,/watch?v=CBFx2IRUdLE
天皇と日本史 ―天皇と将軍、どっちが偉いの？【COTEN RADIO #18】,/watch?v=VMHYJpceuyI
天皇っていつ生まれたの？神さまの子孫ってどういうこと？【COTEN RADIO #17】,/watch?v=S1q5yodN8fA
